customer_message,top1_customer,top1_response,top1_similarity,top2_customer,top2_response,top2_similarity,top3_customer,top3_response,top3_similarity,top4_customer,top4_response,top4_similarity,top5_customer,top5_response,top5_similarity
Nakakaloko yung spotify ayaw tumanggap ng paymet sa globe,yang gratisan 7 hari itu gada lagi ya? soalnya baru nginstal ulang spotify ni. padahal kan mic drop remix dah release #MicDropRemix,"Hey! We can help out in English via Twitter, but we also have Indonesian support via email at /JP",0.666293740272522,nako spotify,Hi Dominic! We've just sent you a bit more info over DM. We'll carry on helping out there /MA,0.6460791230201721,"ini promo spotify 5k buat 3 bulan tapi kenapa di gue malah 50k buat 3 bulan, gaadil banget ih :(","Hey there! We currently don't have support in Malay, but we can help out here in English. Can you DM us your account's username or email address? We'll take a look backstage /TC",0.6355969905853271,nasan na yung #reputation album ha 😒,"We're afraid we don't have Filipino support, so we hope it's okay if we reply in English. ""Taylor Swift's 'Reputation' isn't available to stream just yet! For now, check out the singles: /JN",0.6179547309875488,admin Spotify sy Premium kenapa ada iklan min? Di next mau play lagu iklan lagi min? Why?,"Hey! We can help out in English via Twitter, but we also have Indonesian support via email at /AN",0.6145281195640564
"OK, I did all those steps, fingers crossed and Thanks!","ok, thank you for the info, I'll get it done asap.",You're welcome! Let us know if you need anything else. We're ... 🙂 /WW,0.6005630493164062,Okay! I did it! Thanks,We've just sent a DM your way. Let's carry on chatting there /AN,0.5725878477096558,"That definitely worked it out, thank you!!",You're welcome! Give us a shout if there's anything else we can do to help. We'll be... /DV,0.5531213283538818,"That did work, thank you so much!",You're welcome! Give us a shout if there's anything else we can do to help. We'll be... /DV,0.5387318730354309,"uhhhh, the problem somehow just fixed itself, everything works as before now. thanks for your fast and good help eitherway!!","That's awesome to hear! We're glad it got fixed. But if it ever comes back, we'll be ready and waiting for your message /QI",0.5295542478561401
we need you in India.. I want to stream mic drop Bring urself to India 🙏🙏🙏 #MicDropRemix #MICDropRemixOutNow,WHEN WILL YOU MAKE SPOTIFY AVAILABLE IN INDIA 😭 #MicDropRemix,"Hey there! We don't have any updates on this yet. Don't worry, we're launching in new countries as often as possible. Be sure to add your email at Let us know if you have other questions /GK",0.6643688678741455,Shout! be in India soon ..,"We hear you. Rest assured, your feedback will be passed on to the right folks /NQ",0.5770463943481445,its not on #India region 🤔. Any update whn we can get #music #Spotify 🙏,2: Be sure to add your email at to be first to hear /CP,0.5431654453277588,Hey what about being available in India???,Hey there! We're launching regularly in countries around the world. Sign up here to be first to hear: 🙂 /KC,0.5073026418685913,why aren’t you available in India..,Hey! We're launching in new countries as often as possible. Be sure to add your email at /CB,0.5037030577659607
This one,Here it is,Thanks! Can you DM us your account's username or email address? We'll take a closer look /PL,0.4528006911277771,What's the best one?,"We're afraid we don't have info about that right now. You could probably check the ratings and comments of the other users to help you decide which one you're going to get. If there's anything else, just let us know /LO",0.43023931980133057,Here’s another example,Thanks. We'll get this reported. Great detective work! /DF,0.41184818744659424,Look at this,"Is this happening to all tracks or just a selected few? Also, can you let us know the Windows and Spotify versions you're using? /FR",0.40227416157722473,Sort it out,Hey! Do you have any trouble with this link: Let us know /CB,0.36639344692230225
when are you guys launching byour service in India? I hope it's before the year 3000. Cuz i will be dead by then.,When will be Spotify available in India..??,Hey Akash! We're launching in new countries as often as possible. Be sure to add your email at Keep rocking 🤘 /MQ,0.5510105490684509,when is Spotify going to be available in India??,Hey there! We're launching regularly in countries around the world. Sign up here to be first to hear the news: 🙂 /JI,0.5455904006958008,Shout! be in India soon ..,"We hear you. Rest assured, your feedback will be passed on to the right folks /NQ",0.5348892211914062,when is your amazing app going to get released in South Africa? Is it going to be released in South Africa?,"Hi there! We're launching regularly in countries around the world. Sign up here to be first to hear: If there's anything else, just give us a shout /PK",0.5315389037132263,WHEN WILL YOU MAKE SPOTIFY AVAILABLE IN INDIA 😭 #MicDropRemix,"Hey there! We don't have any updates on this yet. Don't worry, we're launching in new countries as often as possible. Be sure to add your email at Let us know if you have other questions /GK",0.5166214108467102
how to get the promo 129php for 3months?,How can i avail this kind of promo?,The 3 months for 9 PHP offer is for Spotify accounts which haven't been on Premium yet. Hope this info helps /GK,0.6942368745803833,How do I avail of this promo?,Hi! We've just sent you a bit more info over DM. We'll carry on helping out there /TC,0.693240761756897,I tried but it says I can’t get this promo and offers me the P129/month. Why’s that?,Hey there! Can you DM us your account's email address or username? We'll take a look backstage /RH,0.6924376487731934,"if I get the 3 months for 0.99€ promo now, will it be available till Dec 31 only (when the offer expires) or until the end of the 3-months period? (:","Hey Stephanie! We can see that you're currently on Premium. Right now, this offer's for new subscribers only. This campaign will last till the 31st of December. Customers eligible for this offer will get 3 months of Premium. Hope this clears things up /RS",0.6423116326332092,is your 9 pesos promo for 3 months isn't available for debit cards?,"Hey there! You can use a recurring payment method (credit/debit card or PayPal) to activate the 3 months for ₱9 offer. If you're going to pay via your mobile service provider, you can get 3 months of Premium for ₱129 (plus tax). Hope this clears things up /KL",0.598854124546051
Well that’s bullshit I wanna buy the P9 membership using my paypal,I purchased the P9.00 premium service for 3 months,Hi! We've just sent a DM your way. Let's carry on chatting there /RA,0.619297981262207,"When you post about that P9, please be firm. As i tapped on the link, it foes with wrong infos...","Hey, help's here! Can you DM us your account's email address? We'll see what we can suggest /JN",0.5849552750587463,I tried but it says I can’t get this promo and offers me the P129/month. Why’s that?,Hey there! Can you DM us your account's email address or username? We'll take a look backstage /RH,0.5592063665390015,Hi started the 99p for 3months deal and I’m not on premium when I sign in?,Hi Lenny! We've just sent you a bit more info over DM. We'll carry on helping out there 🙂 /MA,0.5329588651657104,You can only avail the ₱9 for 3 months if you use a credit card 😞,Hey! You can sign up for the Intro Offer using any recurring payment methods that’s available at but the pricing varies by payment mode. We're afraid you'd have to use either a credit or debit card to get the 9 PHP deal. Hope this clears things up /KM,0.52041095495224
"i just made a spotify account and i know that the app is supposed to offer a free trial but its only offering it to me for 99 cents, could you help?",Hi I didn't have enough money in my bank account linked to my Spotify premium and was put back to free. I have since payed it and my iTunes says that it's active but the app won't allow me to access premium only the free subscription. I'm on iOs __email__,"It seems the system was unable to process your payment. We’d recommend reaching out to iTunes for more information on the charge. Any other questions, feel free to give us a shout /TF",0.7651293277740479,"Hi, Spotify. I applied for the student discount premium, got approved via email, and was already charged on my credit card but my account's subscription is still ""free"". I tried logging out everywhere/ sign in again but still it doesnt work. What else can I do?🙂","Hey Bella, help's here! Can you DM us your account's username or email address? We'll take a look backstage /PL",0.7121533155441284,"I was charged $4.99 for student spotify and i don’t get it, its annoying how this stuff keeps happening; can you please DM me!",Hey! We've just sent a DM your way. Let's carry on chatting there /TR,0.6761196851730347,I hope you can help! I've updated my payment details and I won't let me into the app? Spotify is life so please help 😎😜!also the link it sent me to sort it out is in German which unfortunately I can not speak unless I'm 9 gins in,"Hi Laura! Don't worry, we'll get to the bottom of this. Could you send us a DM with your account's email address? We'll take a look backstage /DR",0.6751646995544434,I have a free account. I want to upgrade via the 3 month offer. But it’s not possible to do this via Spotify on my iPhone. Grrr!,"Hey, help's arrived! Could you shoot us a DM with your username and email address? We'll check it out 🔍 /JY",0.6745564937591553
"The US,, I'm sure they aren't available, they're pretty rare, to even buy",USA,Thanks. Could you try this link: Is this the album you're looking for? /LO,0.4994552731513977,"Hi I was wondering, are there still gift cards sold at Australian stores? I can't find them anywhere anymore.",Hi Courtney! We've just sent you a bit more info over DM. We'll carry on helping out there /LS,0.4317080080509186,Australia,"Thanks for the info. The release year is correct on our end. Could you let us know the device, operating system, and Spotify version you're using? We'll see what else we can suggest /MT",0.42518776655197144,Thanks but the UK is not listed in the country list.,"2. UNiDAYS here: In the meantime, let us know if you need help with anything else /GU",0.4183708429336548,"Not available in Québec, Canada !? Why !?","Hi there! Currently, we’re not able to offer the 3 months for 0.99 CAD in Quebec due to circumstances outside our control. We hope to be able to make it available in the future. Give us a shout if you have any other questions /DN",0.4051692485809326
"Hey , the remix of this song isn't a remix at all, mind fixing it ?",yo you've uploaded the wrong song under Weezer's 'QB Blitz' 😂😂,Hi Sarah! We've just sent you a bit more info over DM. We'll carry on helping out there /JS,0.4292599856853485,"., we have a Shania problem! Her seminal album, Come on Over, only exists in its inferior, de-country-fied European version on ! I'm all for a good dance remix, but you have to have the original, North American, country-ass album!",Hey Shyama! Can you send us the Album Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll check things out /NG,0.4123551845550537,I've been listening to a 3 minute song for 24 minutes now? It won't end and won't let me change songs. Already refreshed and reopened.,"Hey Matthew! That's not cool. Can you let us know the device, OS, and Spotify version you're rocking? /QI",0.4119156002998352,I mean so places of the songs changes. Do you understand?,"Sorry for the confusion! If you want to sort the songs in your playlist, you can find the steps here: Is this what you were looking for? /LS",0.40010401606559753,"the playlist ""Rock This"" does not have the new song of","Hey, thanks for the feedback! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /RB",0.39155471324920654
