customer_message,support_response,intent,labeling_note
Spotify needs to have an option to go straight to singles.,Hey Callum! We're always open for feedback. Can you give us a bit more info about your idea? We'll be waiting /MC,feature_request,
Didn’t work,Hmm. Can you DM us your account's email address or username? We'll take a look backstage /KM,general_information,
When will you be able to stream the new Taylor Swift?,"Hi there! We’ll have it available to you as soon as it’s available to us. For now, check out the singles: 🙂 /GN",content_availability,
Why is my Spotify half-English and half-German?,Hey there! Can you let us know what language your Spotify app is set to? Just click the arrow &gt; Settings &gt; Language /LM,technical_issue,
"I have been trying 4 sevral days to update my payment details, when I enter my new card info and tap Continue, it just hangs there, it never updates my card","Hey Victor! Can you let us know if you're getting any specific error messages? Also, could you DM us your account's username or email address? We'll take a look under the hood /YM",billing_payment,
If I have can I then update it when I become a student next year so that I pay the student rate?,Hey Naomi! Can you send us your account's email address via DM? We'll check things out /CX,account_access,
Can you at least give us genre specific ads? Can we presume that if my spotify history is full of 90s British rock artists that I probably have less than no interest in Taylor Swift? Thanks.,"We hear you, Michael! You can show your support for ads that are better suited to you by voting here: /MA",feature_request,
really needs to get a dislike/block but I cannot listen to anymore goddam kasabian 😒,"Hey! This isn't possible right now, but you can vote for the idea and help make it happen here: /GK",feature_request,
I feel the same surly they can have the radio edits? I feel this a really bad thing especially since they have “family sharing” plan.,Hey there! Thanks for taking the time to reach out – your feedback's been noted 📝 Where possible we have both versions available. More info here: /RE,feature_request,
Still waiting for the day when announce they've launched in Namibia...😣,We're launching regularly in countries around the world. Sign up here to be first to hear: /DF,content_availability,
"Also: App sometimes suddenly just stops playing music altogether, related to that issues w/ Bluetooth devices (music also stops)",Got it! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF,technical_issue,
Thank you :) It's Trinidad and Tobago,"We're afraid that Spotify isn't available in the Republic of Trinidad and Tobago yet. Rest assured, we're launching regularly in countries around the world! Sign up here to be first to hear: /WW",non_support,
"Hi, bit of a strange one. Track name is 'Losss'. It shows correctly on the desktop player, but when I grab the track link, it shows as 'Loss', like so:","Hey there! We can see the track shows as ""Losss"" on our end. Can you send us a screenshot of how it appears on your mobile app? We'll take a closer look /AP",technical_issue,
Here is this pop up that keeps coming up,"Thanks, but we'd suggest deleting your tweet as it contains some sensitive info. Can you send it via DM? Let's continue chatting there /CH",general_information,
when is your amazing app going to get released in South Africa? Is it going to be released in South Africa?,"Hi there! We're launching regularly in countries around the world. Sign up here to be first to hear: If there's anything else, just give us a shout /PK",content_availability,
Hi there! Albums aren't playing. Updated Spotiy in the last hour. Running ver. 1.0.68.407.g6864aaaf on MacOS High Sierra 10.13.1 (17B48),"Hey! That doesn't sound good. Did it start happening just after the update, or was it already happening before? /QI",technical_issue,
Hey ! I've been having some issues accessing any news?,"Hey! Don’t worry, we can help. What’s happening exactly? A screenshot of any error messages that you're getting will also help. We'll see what we can suggest /PK",technical_issue,
"the playlist ""Rock This"" does not have the new song of","Hey, thanks for the feedback! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /RB",content_availability,
I can't play albums/singles on the desktop. I can only play them from the artist page.,"Hey, that's not cool! Can you let us know the device, operating system, and Spotify version you're rocking? We'll see what we can suggest /JM",technical_issue,
"A member of my family plan has an issue she cant join to the plan, it says""try again"" cause theres a problem, í send the inv like 4 times this week","Hey, help's here! Can you DM us your family member's account's email address, along with the Premium for Family plan owner's? We'll check backstage /GK",technical_issue,
hellow I need some help with this i cant connect with the facebook app,"Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /KM",subscription,
What does mean? How do I get rid of it? How can I communicate with you with being twit or face? Do you not have a direct communication?,"2. device, operating system, and Spotify version you're using? We'll see what we can suggest /GU",technical_issue,
"Yes, it works, thank you!","Awesome, that's great to hear! Enjoy your tunes, and if you ever need us - just shout 🎶 /J",general_information,
great business move by having ur ads for free Spotify so unbearable u have no choice but to get premium #genious #iseeu,"Hey Elaina! This is part of our Free service on mobile. There's more info about it here: In the meantime, you can check out if you haven't had a subscription before /CH",general_information,
this is BS,Hi there! We're launching regularly in countries around the world. Sign up here to be first to hear: 🙂 /JI,non_support,
you sent me an email to change my password and I have tried without success. I keep getting an error message please advise,"Hey Cathryn, that's not cool! Can you DM us your account's username and email address? We'll do some digging /JK",technical_issue,
Stop showing me diaper ads. I don't have a baby.,Hey! Sorry about that. We'll pass the feedback on to the right people /RB,general_information,
